BASE,Authors,Title,Year,DOI,Link
SCOPUS,da Silva P.G.F.,It’s a boy! It’s a girl! The risks of facial analysis technologies for trans and non-binary gender identities [É menino! É menina! Os riscos das tecnologias de análise facial para as identidades de gênero trans e não-binárias],2022,10.17808/des.60.1875,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138572559&doi=10.17808%2fdes.60.1875&partnerID=40&md5=2639f8c7a4bb6ce9c26c1b02730ec1ca
SCOPUS,"Yulia R., Sergiy R.","Justice in the digital age: Technological solutions, hidden threats and enticing opportunities",2021,10.33327/AJEE-18-4.2-A000061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106738276&doi=10.33327%2fAJEE-18-4.2-A000061&partnerID=40&md5=efc63d8106df22f975dd11366783d638
SCOPUS,José D.G.S.,Legal and bioethical implications of artificial intelligence (Ai). special consideration of the international regulatory framework [Implicaciones jurídicas y bioéticas de la inteligencia artificial (Ia). especial consideración al marco normativo internacional],2021,10.20318/cdt.2021.5959,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103033135&doi=10.20318%2fcdt.2021.5959&partnerID=40&md5=81a6c27d79c67f5d3e67739199878146
SCOPUS,"Yara O., Brazheyev A., Golovko L., Bashkatova V.",Legal regulation of the use of artificial intelligence: problems and development prospects,2021,10.14207/ejsd.2021.v10n1p281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101073132&doi=10.14207%2fejsd.2021.v10n1p281&partnerID=40&md5=495d623ba4cc5e14b8b4ef0a20f76712
ACADEMIC,"Schneider, Valerie","LOCKED OUT BY BIG DATA: HOW BIG DATA, ALGORITHMS AND MACHINE LEARNING MAY UNDERMINE HOUSING JUSTICE.",Fall2020,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=sih&AN=147695494&lang=pt-br&site=ehost-live"
SCOPUS,Varytimidou C.,"Looking Through Black Boxes in Medical Diagnosis: Is the Upcoming Three-Dimensional European Regulatory Framework Ready, Willing and Able?",2022,10.21552/ehpl/2022/1/5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138323076&doi=10.21552%2fehpl%2f2022%2f1%2f5&partnerID=40&md5=7d2a2203a640dd19d32d2ea084cc5e68
ACADEMIC,"Rai, Arti K.",Machine Learning at the Patent Office: Lessons for Patents and Administrative Law.,jul.2019,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=138285503&lang=pt-br&site=ehost-live"
SCOPUS,"Ienca M., Malgieri G.",Mental data protection and the GDPR,2022,10.1093/jlb/lsac006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131115858&doi=10.1093%2fjlb%2flsac006&partnerID=40&md5=bff3aa5e02cc5930bc0a6e02939fe755
ACADEMIC,"Kostick-Quenet, Kristin M.; Cohen, I. Glenn; Gerke, Sara; Lo, Bernard; Antaki, James; Movahedi, Faezah; Njah, Hasna; Schoen, Lauren; Estep, Jerry E.; Blumenthal-Barby, J.S.",Mitigating Racial Bias in Machine Learning.,Spring2022,10.1017/jme.2022.13,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=155934044&lang=pt-br&site=ehost-live"
ACADEMIC,Ienca M,On Neurorights.,2021 Sep 24,10.3389/fnhum.2021.701258,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=mdc&AN=34630057&lang=pt-br&site=ehost-live"
